Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
Abulesoro Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Accion Microfinance Bank Limited,Micro-finance Banks,Accion Microfinance Bank Limited,MicroFinance Bank,NATIONAL MFB,-,06/11/2007,"ELIZADE PLAZA, 4TH FLOOR, 322A IKORODU ROAD, ANTHONY, IKEJA, LAGOS",Lagos,LAG,01-2719325-6,-,-,01-2719327,"P.O. Box 1075, Victoria Island",NGN,Domestic,-,11/6/2007
ACE Microfinance Bank Limited,Micro-finance Banks,ACE Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,ACE Community Bank Limited,01/02/2008,"3, Daniel Aliyu Street, Kwali, Abuja",Abuja,ABJ,-,-,-,-,"P.O.Box 011, Kwali, Abuja",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Achina Microfinance Bank Limited,Micro-finance Banks,Achina Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Achina Community Bank Limited,01/02/2008,"Achima Aguata LGA, Anambra State",Anambra,ANA,803495322,-,-,-,"P.O.Box 256, Achima Aguata LGA, Anambra State",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
ADA Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Adazi-Enu Microfinance Bank Limited,Micro-finance Banks,Adazi-Enu Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Adazi-Enu Community Bank Limited,01/02/2008,"Nkwor Market Square, Adazi- Enu, Anaocha Local Govt",Anambra,ANA,-,-,-,-,"P.O.Box 207, Nkwor Market Square",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Adazi-Nnukwu Microfinance Bank Limited,Micro-finance Banks,Adazi-Nnukwu Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Adazi-Nnukwu Community Bank Limited,01/02/2008,"Near Eke Market, Adazi Nnukwu, Adazi, Anambra State",Anambra,ANA,-,-,-,-,"Near Eke Market, Adazi Nnukwu, Adazi, Anambra Stat",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Addosser Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Adeyemi College Staff Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Afekhafe Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Afemai Microfinance Bank Limited,Micro-finance Banks,Afemai Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Uzairue Community Bank Limited,20/09/2007,"61B, Bode Road, Jattu-Uzairue",Edo,EDO,-,-,-,-,"P.O. Box 30, Jattu-Uzairue, Etsako West LGA",NGN,Domestic,-,9/20/2007
Agosasa Microfinance Bank Limited,Micro-finance Banks,Agosasa Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Agosasa Community Bank Limited,01/02/2008,"5, Ilupeju Estate, Ipokia Road,",Ogun,OGU,-,-,-,-,"Agosasa, Yewa South Local Govt Area",NGN,Domestic,-,2/1/2008
Ahmadu Bello University Microfinance Bank Limited,Micro-finance Banks,Ahmadu Bello University Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Ahmadu Bello University Community Bank Limited,01/02/2008,"Main Campus, Opp. Post Graduate School,",-,KAD,-,-,-,-,"Ahmadu Ballo University Campus, Zaria",NGN,Domestic,-,2/1/2008
Aibio Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Ajewole Microfinance Bank Limited,Micro-finance Banks,Ajewole Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Ajewole Community Bank Limited,01/02/2008,"Ilorin Road, Sabo, Ogbomosho",Oyo,OYO,-,-,-,-,"Ilorin Road, Sabo, Ogbomosho, Oyo State",NGN,Domestic,-,2/1/2008
Ajose Microfinance Bank Limited,Micro-finance Banks,Ajose Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Ajose Community Bank Limited,01/02/2008,"Ejinrin Road, Ijebu South",Ogun,OGU,-,-,-,-,"P.O. Box 806, Ijebu-Ode",NGN,Domestic,-,2/1/2008
Ajuta Microfinance Bank Limited,Micro-finance Banks,Ajuta Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Ogbagi Community Bank Limited,01/02/2008,"Market Road, Loso Quarters, Ogbagi Akoko",Ondo,OND,-,-,-,-,"Market Road, Loso Quarters, Ogbagi Akoko, Ondo State",NGN,Domestic,-,2/1/2008
Akalabo Microfinance Bank Limited,Micro-finance Banks,Akalabo Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Amesi Community Bank Limited,01/02/2008,"Co-operative House, Afor Market Square",Anambra,ANA,8037456842,-,-,-,"Co-operative House, Afor Market Square, Amesi, Aguata LGA, Anambra State",NGN,Domestic,-,2/1/2008
Akokwa Microfinance Bank Limited,Micro-finance Banks,Akokwa Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Akokwa Community Bank Limited,01/02/2008,"Oris-Akokwa Market Square,",-,IMO,-,-,-,-,Ideato North Local Govt Area,NGN,Domestic,-,2/1/2008
Akpo Microfinance Bank Limited,Micro-finance Banks,Akpo Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Akpo Community Bank Limited,01/02/2008,"Akpo Junction, Akpo, Aguata LGA, Anambra State",Anambra,ANA,-,-,-,-,"Akpo Junction, Akpo, Aguata LGA, Anambra State",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Aku Diewa Microfinance Bank Limited,Micro-finance Banks,Aku Diewa Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Aku Diewa Community Bank Limited,01/02/2008,"ENU ORIE UWELE, AKU, ENUGU STATE",Enugu,ENU,-,-,-,-,"Box 117, Aku",NGN,Domestic,-,2/1/2008
Akuchukwu Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Al-Barakah Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Al-Hayat Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Albasu Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Alekun Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Alert Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Algreb Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Aliero Microfinance Bank Limited,Micro-finance Banks,Aliero Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Aliero Community Bank Limited,01/02/2008,"Attahiru Road, Aliero Local Government Area, Aliero",Kebbi,KEB,-,-,alieromicrobankltd@yahoo.com,-,"ATTAHIRU ROAD, AILERO LGA, KEBBI STATE",NGN,Domestic,-,2/1/2008
All Workers Microfinance Bank Limited,Micro-finance Banks,All Workers Microfinance Bank Limited,MicroFinance Bank,STATE MFB,All Workers Community Bank Limited,01/02/2008,"30, MBARI STREET, IKENEGBU LAYOUT, OWERRI, IMO STATE",Owerri,IMO,-,-,-,-,"30, MBARI STREET, IKENEGBU LAYOUT, OWERRI, IMO STATE",NGN,Domestic,-,2/1/2008
Alor Microfinance Bank Limited,Micro-finance Banks,Alor Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Alor Community Bank Limited,01/02/2008,"Nkwor Alor Market Square, Idemili South LGA, Anambra State",Anambra,ANA,-,-,-,-,"Nkwor Alor Market Square, Idemili South LGA, Anambra State",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Alpha Kapital Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Alvana Microfinance Bank Limited,Micro-finance Banks,Alvana Microfinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,Alvana Community Bank Limited,01/02/2008,Alvan Ikoku College of Education,Owerri,IMO,-,-,-,-,"ALVAN IKOKU COLLEGE OF EDUCATION, ORLU ROAD, OWERRI, IMO STATE",NGN,Domestic,-,2/1/2008
AMAC Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Amazu Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Amegy Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AMJU-Unique Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AMML Microfinance Bank Limited (Abuja Markets Management Ltd),Micro-finance Banks,AMML Microfinance Bank Limited (Abuja Markets Management Ltd),MicroFinance Bank,TIER 1 UNIT,-,01/01/1900,"Plot 1363, Ladoke Akintola Boulevard, Garki Model Market, Abuja",Abuja,ABJ,"08035142458, 08059689215, 09-8766890",-,info@ammlmfb.com,-,"Plot 1363, Ladoke Akintola Boulevard, Garki Model Market, Abuja",NGN,Domestic,-,7/28/2014
Ampersand Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Ample Microfinance Bank Limited,Micro-finance Banks,Ample Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"Comfort Fatoyinbo House, Ilorin-Kabba Road, Eruku, Kwara State",Eruku,KWARA,+2348055000023,-,-,-,-,NGN,Domestic,-,09/02/2024
Amucha Microfinance Bank Limited,Micro-finance Banks,Amucha Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Amucha Community Bank Limited,01/02/2008,"Bank House, Amucha, Via Orlu Njaba",-,IMO,-,-,-,-,"Bank House, Amucha, Via Orlu Njaba, Imo State",NGN,Domestic,-,2/1/2008
Anchorage Microfinance Bank Limited,Micro-finance Banks,Anchorage Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Anchorage Community Bank Limited,01/02/2008,"Highbury Plaza, 104 Gado Nasco Road, Kubwa, abuja",-,ABJ,-,-,-,-,"Highbury Plaza, 104 Gado Nasco Road, Kubwa, abuja",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Aniocha Microfinance Bank Limited,Micro-finance Banks,Aniocha Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Aniocha Community Bank Limited,01/02/2008,"Umeadi House, Ogbeofu Quarter",Delta,DEL,8033821189,-,-,-,"Issele-Uku, Aniocha Local Govt Area",NGN,Domestic,-,2/1/2008
Annointed Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Aogo Microfinance Bank Limited,Micro-finance Banks,Aogo Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Aogo Community Bank Limited,01/02/2008,"Oba Adesanoye House,",Ondo,OND,08065087178; 08054766276; 08034206527; 08033224329,-,-,-,"39/41, Canon Adeyemi, Sabo, Ondo State",NGN,Domestic,-,2/1/2008
Apa Microfinance Bank Limited,Micro-finance Banks,Apa Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Onyagede-Adoka-Ogboju CB,01/02/2008,"Makurdi Road, Adoka, Otukpo",Otukpo,BEN,-,-,-,-,"Makurdi Road, Adoka, Otukpo, Benue State",NGN,Domestic,-,2/1/2008
Apex Trust Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Apple Microfinance Bank Limited,Micro-finance Banks,Apple Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Oru & Ayetoro CBs,01/02/2008,"26, Agbon Street, Oru-Ijebu",Ogun,OGU,-,-,-,-,"26, Agbon Street, Oru-Ijebu, Ogun State",NGN,Domestic,-,2/1/2008
Aramoko Microfinance Bank Limited,Micro-finance Banks,Aramoko Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Aramoko Community Bank Limited,01/02/2008,"Civic Centre, Aramoko Ekiti",Ekiti,EKI,-,-,-,-,"Civic Centre, Aramoko Ekiti State",NGN,Domestic,-,2/1/2008
Aris Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Asha Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Aspire Microfinance Bank LImited,Micro-finance Banks,Aspire Microfinance Bank LImited,MicroFinance Bank,STATE MFB,-,02/05/2008,"No. 254, Umusadegi Road, Kwale",Delta,DEL,8066687070,-,-,-,"No. 254, Umusadegi Road, Kwale, Delta State",NGN,Domestic,Approval-In-Principle granted,5/2/2008
Asset Matrix Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Assets Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Astra Polaris Microfinance Bank Limited,Micro-finance Banks,Astra Polaris Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Egba-Omi Community Bank Limited,01/02/2008,"ADIGBE AREA, OBAFEMI OWODE LGA, ABEOKUTA, OGUN STATE",Ogun,OGU,-,-,-,-,"ADIGBE AREA, OBAFEMI OWODE LGA, ABEOKUTA, OGUN STATE",NGN,Domestic,-,2/1/2008
Auchi Microfinance Bank Limited,Micro-finance Banks,Auchi Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Auchi Community Bank Limited,01/02/2008,"40, Otaru Road, Auchi",-,EDO,-,-,-,-,"40, Otaru Road, Auchi",NGN,Domestic,-,2/1/2008
Auchi Polytechnic Microfinance Bank Limited,Micro-finance Banks,Auchi Polytechnic Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"Main Gate, Main Campus, Auchi Polytechnic, Benin-Okene Expressway, Auchi, Edo State.",Auchi,EDO,+2348063661595,-,-,-,-,NGN,Domestic,-,08/08/2024
AVE MARIA MFB,Micro-finance Banks,AVE MARIA MFB,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"NO.16, OKE ASUNNARA, IWERE-ILE IWAJOWA LGA, OYO STATE",OYO STATE,OYO,(239)352-3903,-,-,-,"NO.16, OKE ASUNNARA, IWERE-ILE IWAJOWA LGA, OYO STATE",NGN,Domestic,-,27/10/2022
Avunegbe Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Awe Microfinance Bank Limited,Micro-finance Banks,Awe Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Awe Community Bank Limited,01/02/2008,"Awe-Iwo Road, Awe, Oyo State",Awe,OYO,-,-,-,-,"Awe-Iwo Road, Awe, Oyo State",NGN,Domestic,-,2/1/2008
AWESOME MFB,Micro-finance Banks,AWESOME MFB,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"DUO PLAZA OPP GWAGWALADAULTRA MODERN MARKET, KUTUNKU, ABUJA",GWAGWALADA ABUJA,ABU,-,-,-,-,"DUO PLAZA OPP GWAGWALADAULTRA MODERN MARKET, KUTUNKU, ABUJA",NGN,Domestic,-,09/12/2022
Awka-Etiti Microfinance Bank Limited,Micro-finance Banks,Awka-Etiti Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Awka-Etiti Community Bank Limited,01/02/2008,"KM 1-3, Nnobi Awka Etiti Road, Idemili LGA, Anambra",Anambra,ANA,-,-,-,-,"KM 1-3, Nnobi Awka Etiti Road, Idemili LGA, Anambra",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Awkuzu Microfinance Bank Limited,Micro-finance Banks,Awkuzu Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Awkuzu Community Bank Limited,01/02/2008,"OTUOCHA-ABAGANA ROAD, AWKUZU, ANAMBRA",Anambra,ANA,-,-,-,-,"P.M.B. 2, Awkuzu, Oyi LGA, Anambra State",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
AZSA Microfinance Bank Limited,Micro-finance Banks,AZSA Microfinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,-,13/12/2007,"37 OSOLO WAY, AJAO ESTATE OFF INTERNATIONAL AIRPORT LAGOS",Lagos,LAG,-,-,-,-,"37 OSOLO WAY, AJAO ESTATE OFF INTERNATIONAL AIRPORT LAGOS",NGN,Domestic,-,12/13/2007
B C Kash Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Babba Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Babcock Microfinance Bank Limited,Micro-finance Banks,Babcock Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"Babcock University, Babcock University Road, Ilishan-Remo, Ogun State",-,OGU,"07065155688; 07034471974, 07089260400",-,babcockmfb@gmail.com,-,"Babcock University, Babcock University Road, Ilishan-Remo, Ogun State",NGN,Domestic,-,7/28/2014
Babura Microfinance Bank Limited,Micro-finance Banks,Babura Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Babura Community Bank Limited,01/02/2008,"OPPOSITE DISTRICT HEAD'S OFFICE, BABURA, JIGAWA STATE",-,JIG,-,-,-,-,"OPPOSITE DISTRICT HEAD'S OFFICE, BABURA, JIGAWA STATE",NGN,Domestic,-,2/1/2008
Baines Credit Microfinance bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Balera Microfinance Bank Limited,Micro-finance Banks,Balera Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Balera Community Bank Limited,01/02/2008,"NO. 2, KAFANCHAN ROAD, LERE LERE LGA KADUNA STATE",-,KAD,-,-,-,-,"NO. 2, KAFANCHAN ROAD, LERE LERE LGA KADUNA STATE",NGN,Domestic,-,2/1/2008
Balogun Fulani Microfinance Bank Limited,Micro-finance Banks,Balogun Fulani Microfinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,Balogun Fulani Community Bank Limited,01/02/2008,"9, Balogun Fulani Road, Ilorin, Kwara State",Ilorin,KWA,-,-,-,-,"9, Balogun Fulani Road, Ilorin, Kwara State",NGN,Domestic,-,2/1/2008
Balogun Gambari Microfinance Bank Limited,Micro-finance Banks,Balogun Gambari Microfinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,Balogun Gambari Community Bank Limited,01/02/2008,"NO 1 OJAGBORO JUNCTION BOLOGUN GAMBARI ROAD, ILORIN.",Ilorin,KWA,-,-,-,-,"NO 1 OJAGBORO JUNCTION BOLOGUN GAMBARI ROAD, ILORIN.",NGN,Domestic,-,2/1/2008
Bam Microfinance Bank Limited,Micro-finance Banks,Bam Microfinance Bank Limited,MicroFinance Bank,STATE MFB,-,22/01/2008,"SUITE D77/67, AREA11 SHOPPING MALL (BY FCDA JUNCTION), AHMADU BELLO WAY, AREA 11, GARKI, ABUJA, FCT","Garki District, Abuja",ABJ,-,-,-,-,"SUITE D77/67, AREA11 SHOPPING MALL (BY FCDA JUNCTION), AHMADU BELLO WAY, AREA 11, GARKI, ABUJA, FCT",NGN,Domestic,Approval_In_Principle granted,1/22/2008
Banex Microfinance Bank Limited,Micro-finance Banks,Banex Microfinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,-,01/01/1900,"SUITE C 1 & 2 BANEX PLAZA VINA WUSE II, ABUJA",-,ABU,"08033406429, 08035543623",-,banexmfb@gmail.com,-,"SUITE C 1 & 2 BANEX PLAZA VINA WUSE II, ABUJA",NGN,Domestic,-,7/28/2014
Baobab Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Barnawa Microfinance Bank Limited,Micro-finance Banks,Barnawa Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Barnawa community Bank Limited,01/02/2008,"PLOT 3, MOZAMBIQUE ROAD, BARNAWA SHOPPING COMPLEX, BARNAWA KADUNA SOUTH, KADUNA STATE.","Kaduna, Kaduna State",KAD,-,-,-,-,"PLOT 3, MOZAMBIQUE ROAD, BARNAWA SHOPPING COMPLEX, BARNAWA KADUNA SOUTH, KADUNA STATE.",NGN,Domestic,provisional approval to convert to microfinance ba,2/1/2008
BATAGWARA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bauchi CFA Mirofinance Bank Limited,Micro-finance Banks,Bauchi CFA Mirofinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,-,01/01/1900,"Mohammed Adamu Hashidu House, No. 21 Abdulkadir Ahmed Road, P.M.B. 0125, Bauchi, Bauchi State.",-,BAU,"08061216160, 08069650060",-,Bauchi CFA Mirofinance Bank Limited,-,"Mohammed Adamu Hashidu House, No. 21 Abdulkadir Ahmed Road, P.M.B. 0125, Bauchi, Bauchi State.",NGN,Domestic,-,7/28/2014
Bauchi Investment Corporation MFB Limited (BIC),Micro-finance Banks,Bauchi Investment Corporation MFB Limited (BIC),MicroFinance Bank,TIER 1 UNIT,-,07/09/2007,"37, Abdulkadir Ahmed Road, Bauchi",Bauchi,BAU,-,-,-,-,"PMB 0162, Bauchi",NGN,Domestic,Provisional Approval granted,9/7/2007
BAURE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bawyi Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bayajidda Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bayero University Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bayetin Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bejin-Doko Microfinance Bank Limited,Micro-finance Banks,Bejin-Doko Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Bejin-Doko Community Bank Limited,01/02/2008,"BIDA ROAD, DOKO GARAGE, NEAR POLICE STATION, LAVUN LGA, P.OBOX 568, BIDA, NIGER STATE","Bida, Niger State.",NIG,-,-,-,-,"BIDA ROAD, DOKO GARAGE, NEAR POLICE STATION, LAVUN LGA, P.OBOX 568, BIDA, NIGER STATE",NGN,Domestic,-,2/1/2008
Benue Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Benysta Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Berachah Microfinance Bank Limited,Micro-finance Banks,Berachah Microfinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,-,20/09/2007,"PLOT 1, CMD ROAD, IKOSI, KETU, LAGOS",Ketu,LAG,01-8782210,-,kfash2000@yahoo.com,01-8716914,"PLOT 1, CMD ROAD, IKOSI, KETU, LAGOS",NGN,Domestic,-,9/20/2007
Best Star Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bethel Microfinance Bank Limited,Micro-finance Banks,Bethel Microfinance Bank Limited,MicroFinance Bank,TIER 1 UNIT,Okosisi Community Bank Limited,01/02/2008,"PLOT C/1 OWERRI ROAD EXTENSION, SECRETARIAT QTRS, ASATA, ENUGU STATE.",Asata,ENU,-,-,-,-,"PLOT C/1 OWERRI ROAD EXTENSION, SECRETARIAT QTRS, ASATA, ENUGU STATE.",NGN,Domestic,-,2/1/2008
Better Life Microfinace Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Bichi Microfinance Bank Limited,Micro-finance Banks,Bichi Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"No. 1, Bichi Main Street, Bichi Town, Bichi LGA, Kano State",kano,KAN,-,-,-,-,"No. 1, Bichi Main Street, Bichi Town, Bichi LGA, Kano State",NGN,Domestic,-,2/6/2014
Bida Polytechnic Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Blooms Microfinance Bank,Micro-finance Banks,Blooms Microfinance Bank,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"No 108 Lagos Road, Ikorodu, Lagos State",Ikorodu,LAGOS,+2347011778441,-,-,-,-,NGN,Domestic,-,06/13/2023
BLUCON MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BLUE RIDGE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BLUEPRINT INVESTMENTS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOCTRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOJI BOJI MFB LTD.,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOKKOS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOMPAI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BONGHE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
Boost Microfinance Bank Limited,Micro-finance Banks,Boost Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"No 108 Lagos Road, Ikorodu, Lagos State",Ikorodu,LAGOS,xxx,-,-,-,-,NGN,Domestic,-,08/08/2024
BORGU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BORNO RENAISSANCE MFB LTD.,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOROMU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BORSTAL MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOSAK MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOWEN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BOWMAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BRETHREN  MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BRIGHTWAY MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
BROADVIEW MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BROOKS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BUBAYERO MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
BUNDI MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BUNGUDU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BUNKASA MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BUNKURE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
BUSU MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CANAAN MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CAPITALMETRIQ SWIFT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CAPSTONE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CARBON MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CARETAKER MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CASH RITE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CASHCONNECT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CASTLE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CATLAND MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CEDAR MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHALLENGE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHANELLE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHANGAN RTS MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHASE MFB LTD,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHEVRON EMPLOYEE CO-OPERATIVE MFB (CEMCS),Micro-finance Banks,,,,,,,,,,,,,,,,,
CHIBUEZE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHIKUM MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHRISORE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHRONICLES MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CHUKWUNENYE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CINTRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CIT MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CITIZEN TRUST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CITY MISSION METHODIST MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CIVIC MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
CLOVERLEAF MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
COAL CAMP MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
COASTLINE MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
